id,level,link,child,pid,name,ename,memo,text
1,1,1,1,0,病毒,Viruses,9群(目) 42科 130屬 492種,病毒  Viruses<font class=c1>   9群(目) 42科 130屬 492種</font>
2,1,2,1,0,細菌界,Kingdom Bacteria,7門 14綱 36目 99科 373屬 1510種,細菌界  Kingdom Bacteria<font class=c1>   7門 14綱 36目 99科 373屬 1510種</font>
3,1,3,1,0,古菌界,Kingdom Archaea,2門 4綱 5目 7科 8屬 10種,古菌界  Kingdom Archaea<font class=c1>   2門 4綱 5目 7科 8屬 10種</font>
4,1,4,1,0,原生生物界,Kingdom Protozoa,10門 20綱 41目 167科 463屬 1367種,原生生物界  Kingdom Protozoa<font class=c1>   10門 20綱 41目 167科 463屬 1367種</font>
5,1,5,1,0,原藻界,Kingdom Chromista,7門 15綱 53目 84科 331屬 1971種,原藻界  Kingdom Chromista<font class=c1>   7門 15綱 53目 84科 331屬 1971種</font>
6,1,6,1,0,真菌界,Kingdom Fungi,5門 23綱 94目 317科 1646屬 6405種,真菌界  Kingdom Fungi<font class=c1>   5門 23綱 94目 317科 1646屬 6405種</font>
7,1,7,1,0,植物界,Kingdom Plantae,10門 25綱 140目 479科 2619屬 9099種,植物界  Kingdom Plantae<font class=c1>   10門 25綱 140目 479科 2619屬 9099種</font>
8,1,8,1,0,動物界,Kingdom Animalia,18門 56綱 304目 2264科 14526屬 39393種,動物界  Kingdom Animalia<font class=c1>   18門 56綱 304目 2264科 14526屬 39393種</font>
701,2,7-701,1,7,角蘚門,Phylum Anthocerotophyta,1綱 3目 3科 6屬 19種,角蘚門  Phylum Anthocerotophyta<font class=c1>   1綱 3目 3科 6屬 19種</font>
702,2,7-702,1,7,地錢門,Phylum Marchantiophyta,2綱 13目 51科 123屬 550種,地錢門  Phylum Marchantiophyta<font class=c1>   2綱 13目 51科 123屬 550種</font>
703,2,7-703,1,7,紅藻植物門,Phylum Rhodophyta,4綱 17目 42科 141屬 281種,紅藻植物門  Phylum Rhodophyta<font class=c1>   4綱 17目 42科 141屬 281種</font>
704,2,7-704,1,7,綠藻植物門,Phylum Chlorophyta,6綱 18目 52科 189屬 903種,綠藻植物門  Phylum Chlorophyta<font class=c1>   6綱 18目 52科 189屬 903種</font>
705,2,7-705,1,7,苔類植物門,Phylum Bryophyta,4綱 18目 59科 301屬 1092種,苔類植物門  Phylum Bryophyta<font class=c1>   4綱 18目 59科 301屬 1092種</font>
706,2,7-706,1,7,石松門,Phylum Lycopodiophyta,1綱 3目 3科 8屬 53種,石松門  Phylum Lycopodiophyta<font class=c1>   1綱 3目 3科 8屬 53種</font>
707,2,7-707,1,7,松葉蕨門,Phylum Psilophyta,1綱 1目 1科 1屬 1種,松葉蕨門  Phylum Psilophyta<font class=c1>   1綱 1目 1科 1屬 1種</font>
